aop_elements,aop_elements_id,sort,mark1,mark2,mark3,mark4,mark5,Acronym,Trendency,Label
"Reduction, 17beta-estradiol synthesis by ovarian granulosa cells",3,KE,Reduction,17beta-estradiol,ovarian granulosa cells,,,,Reduction,Y
"Decreased, 3-hydroxyacyl-CoA dehydrogenase type-2 activity",8,KE,Decrease,3-hydroxyacyl-CoA dehydrogenase type-2 activity,,,,,Decrease,Y
"Activation, 5HT2c",9,MIE,Activation,5HT2c,,,,,Activation,Y
Acetylcholine accumulation in synapses,10,KE,Accumulation,Acetylcholine,synapses,,,Ach,Accumulation,Y
Acetylcholinesterase (AchE) Inhibition,12,MIE,Inhibition,Acetylcholinesterase,,,,AchE,Inhibition,Y
"Activation, AhR",18,MIE,Activation,AhR,,,,AhR,Activation,Y
"Altered regulation, Alpha hemoglobin",21,KE,Altered regulation,Alpha hemoglobin,,,,,Altered regulation,Y
"Agonism, Androgen receptor",25,MIE,Agonism,Androgen receptor,,,,AR,Agonism,Y
"Antagonism, Androgen receptor",26,MIE,Antagonism,Androgen receptor,,,,AR,Antagonism,Y
"N/A, Androgen receptor, Antagonism",27,MIE,Antagonism,Androgen receptor,,,,AR,Antagonism,Y
"Reduction, Angiogenesis",28,KE,Reduction,Angiogenesis,,,,,Reduction,Y
"Inhibition, Aromatase",36,MIE,Inhibition,Aromatase,,,,,Inhibition,Y
Increased Cholinergic Signaling,39,KE,Increase,Cholinergic Signaling,,,,,Increase,Y
"Decrease, Mitochondrial ATP production",40,KE,Decrease,Mitochondrial ATP ,,,,ATP,Decrease,Y
"Inhibition, Bile Salt Export Pump (ABCB11)",41,MIE,Inhibition,Bile Salt Export Pump ,ABCB11,,,,Inhibition,Y
"Accumulation, Biological membranes",46,MIE,Accumulation,Biological membranes,,,,,Accumulation,Y
"Reduction, Ca and HCO3 transport to shell gland",49,KE,Reduction,Ca and HCO3,shell gland,,,,Reduction,Y
"Increase, Ca++ (intracellular)",50,KE,Increase,Ca++ (intracellular),,,,Ca,Increase,Y
"Inhibition, Ca++ ATPase",51,MIE,Inhibition,Ca++ ATPase,,,,Ca,Inhibition,Y
"Decreased, Calcium influx",52,KE,Decrease,Calcium influx,,,,Ca,Decrease,Y
"Up Regulation, CD36",54,KE,Up Regulation,CD36,,,,,Up Regulation,Y
"N/A, Cell injury/death",55,KE,,Cell injury,Cell death,,,,injury/death,Y
"Reduction, Ionotropic GABA receptor chloride channel conductance",64,KE,Reduction,Ionotropic GABA receptor,chloride channel ,,,GABA,Reduction,Y
"Activation, ChREBP",66,KE,Activation,ChREBP,,,,ChREBP,Activation,Y
"Accumulation, Collagen",68,KE,Accumulation,Collagen,,,,,Accumulation,Y
"N/A, Covalent binding to protein, possibly lysine residue",75,MIE,,Covalent binding,lysine residue,,,,Covalent Binding,Y
"Production, Critical Metabolites (CGA 330050 and CGA 265307)",77,KE,Production,Critical Metabolites,CGA 330050,CGA 265307,,,Production,Y
"Reduction, Cumulative fecundity and spawning",78,KE,Reduction,Cumulative fecundity,spawning,,,,Reduction,Y
"Reduction, Cumulative fecundity and spawning",78,AO,Reduction,Cumulative fecundity,spawning,,,,Reduction,Y
"Inhibition, Cyclooxygenase activity",79,MIE,Inhibition,Cyclooxygenase ,,,,,Inhibition,Y
"Release, Cytokine",87,KE,Release,Cytokine,,,,,Release,Y
"Alkylation, DNA",97,MIE,Alkylation,DNA,,,,DNA,Alkylation,Y
"Increase, Ecdysone receptor agonism",103,MIE,Increase,Ecdysone receptor ,agonism,,,ER,Increase,Y
"Reduction, Eggshell thickness",106,KE,Reduction,Eggshell thickness,,,,,Reduction,Y
"Impairment, Endothelial network",110,KE,Impairment,Endothelial network,,,,,Impairment,Y
"Agonism, Estrogen receptor",111,MIE,Agonism,Estrogen receptor,,,,ER,Agonism,Y
"Antagonism, Estrogen receptor",112,MIE,Antagonism,Estrogen receptor,,,,ER,Antagonism,Y
"Increase, FA Influx",115,KE,Increase,FA Influx,,,,FA,Increase,Y
"Activation, FAS",116,KE,Activation,FAS,,,,FAS,Activation,Y
"Formation, Formation of hemoglobin adducts",118,KE,Formation,hemoglobin adducts,,,,,Formation,Y
"N/A, Gap",119,KE,,Gap,,,,,,Y
"Activation, Glucocorticoid Receptor",122,MIE,Activation,Glucocorticoid Receptor,,,,GR,Activation,Y
"Reduction, Gonadotropins, circulating concentrations",129,KE,Reduction,Gonadotropins,circulating,,,,Reduction,Y
"Down Regulation, Gulcose-6-phosphate dehydrogenase",131,KE,Down Regulation,Gulcose-6-phosphate dehydrogenase,,,,,Down Regulation,Y
"N/A, Hepatotoxicity, Hepatopathy, including a constellation of observable effects",139,KE,,Hepatotoxicity,Hepatopathy,,,,,Y
"Decreased, HSD17B10 expression",140,KE,Decrease,HSD17B10 expression,,,,,Decrease,Y
"Induction, IKB inhibitory protein",145,KE,Induction,IKB inhibitory protein,,,,,Induction,Y
"Inhibition, Inducible Nitric Oxide Synthase by Metabolite CGA 265307",147,KE,Inhibition,Nitric Oxide Synthase,CGA 265307,,,,Inhibition,Y
"Increase, Inflammation",149,KE,Increase,Inflammation,,,,,Increase,Y
"Activation, Inflammatory cytokines, chemokines, cytoprotective gene pathways",151,KE,Activation,Inflammatory cytokines,chemokines,cytoprotective gene pathways,,,Activation,Y
"Suppression, Inflammatory cytokines",152,KE,Suppression,Inflammatory cytokines,,,,,Suppression,Y
"N/A, Inadequate DNA repair",155,KE,,Inadequate DNA repair,,,,DNA,,Y
"Induction, Liver “Dysfunctional” Changes by CGA 330050",164,KE,Induction,CGA 330050,Dysfunctional,Liver,,,Induction,Y
"Activation, Long term AHR receptor driven direct and indirect gene expression changes",165,MIE,Activation,Long term AHR receptor,,,,AhR,Activation,Y
"Decreased, Long-term potentiation (LTP)",166,KE,Decrease,Long-term potentiation ,,,,LTP,Decrease,Y
"Activation, LXR",167,MIE,Activation,LXR,,,,LXR,Activation,Y
"Decreased, Lymphocytes",168,KE,Decrease,Lymphocytes,,,,,Decrease,Y
"Disruption, Membrane integrity",169,KE,Disruption,Membrane integrity,,,,,Disruption,Y
"Damaging, Mitochondria",176,KE,Damage,Mitochondria,,,,,Damage,Y
"N/A, Mitochondrial dysfunction 1",177,KE,,Mitochondrial dysfunction 1,,,,,,Y
"Disruption, Mitochondrial electron transport chain",178,KE,Disruption,Mitochondrial electron transport chain,,,,,Disruption,Y
"Decreased, Mitochondrial fatty acid beta-oxidation",179,KE,Decrease,Mitochondrial fatty acid beta-oxidation,,,,,Decrease,Y
"Increase, Mutations",185,KE,Increase,Mutations,,,,,Increase,Y
"Increase, Mutations",185,AO,Increase,Mutations,,,,,Increase,Y
"N/A, Neuroinflammation",188,KE,,Neuroinflammation,,,,,,Y
"Decreased, Nitric Oxide",193,KE,Decrease,Nitric Oxide,,,,,Decrease,Y
"Inhibition, NMDARs",195,KE,Inhibition,NMDARs,,,,NMDARs,Inhibition,Y
"Binding of antagonist, NMDA receptors",201,MIE,Antagonism,NMDA receptors,,,,NMDARs,Antagonism,Y
"Inhibition, Nuclear factor kappa B (NF-kB)",202,KE,Inhibition,Nuclear factor kappa B,,,,,Inhibition,Y
Peptide Oxidation,209,MIE,,Peptide Oxidation,,,,,,Y
Peptide Oxidation,209,KE,,Peptide Oxidation,,,,,,Y
"Propagation, Oxidative stress",211,KE,Propagation,Oxidative stress,,,,,Propagation,Y
"N/A, Parent compound is converted to the reactive metabolite and forms free radicals leading to oxidation of heme iron(II) in hemoglobin to iron(III)",213,MIE,,oxidation,Parent compound,free radicals,reactive metabolite,,,Y
"Bile accumulation, Pathological condition",214,KE,Accumulation,Bile,Pathological,,,,Accumulation,Y
"Decreased, PCK1 expression (control point for glycolysis/gluconeogenesis pathway)",216,KE,Decrease,PCK1,glycolysis,gluconeogenesis,,PCK1,Decrease,Y
"Reduction, Plasma 17beta-estradiol concentrations",219,KE,Reduction,17beta-estradiol,Plasma,,,,Reduction,Y
"Increase, Plasma vitellogenin concentrations",220,KE,Increase,Plasma vitellogenin,,,,VTG,Increase,Y
"Reduction, Plasma vitellogenin concentrations",221,KE,Reduction,Plasma vitellogenin,,,,VTG,Reduction,Y
"Activation, PPARα",227,MIE,Activation,PPARα,,,,PPAR,Activation,Y
"Activation, PPARα",227,KE,Activation,PPARα,,,,PPAR,Activation,Y
peroxisome proliferator activated receptor promoter demethylation,228,MIE,Demethylation,peroxisome proliferator activated receptor,,,,PPAR,Demethylation,Y
"Decreased, PPAR-alpha activation",231,MIE,Decrease,PPAR-alpha,,,,PPAR,Decrease,Y
"Decreased, PPAR-alpha activation",231,KE,Decrease,PPAR-alpha,,,,PPAR,Decrease,Y
"Decreased, PPAR-beta activation",232,MIE,Decrease,PPAR-beta,,,,PPAR,Decrease,Y
"Decreased, PPAR-gamma activation",233,MIE,Decrease,PPAR-gamma,,,,PPAR,Decrease,Y
"Activation, Pregnane-X receptor, NR1l2",239,MIE,Activation,Pregnane-X receptor,NR1l2,,,PXR,Activation,Y
"Feminisation or incomplete development, Primary and accessory male sex organs",240,KE,Feminisation,incomplete development,male sex organs,,,,Feminisation,Y
"Reduction, Prostaglandin E2 concentration",243,KE,Reduction,Prostaglandin E2 concentration,,,,,Reduction,Y
"Alkylation, Protein",244,MIE,Alkylation,Protein,,,,,Alkylation,Y
"Activation, PXR/SXR",245,MIE,Activation,PXR,SXR,,,PXR,Activation,Y
"Increase, RBC congestion in liver",246,KE,Increase,RBC,liver,,,,Increase,Y
"Production, Reactive oxygen species",249,KE,Production,Reactive oxygen species,,,,ROS,Production,Y
"Damaging, Red blood cells; hemolysis",250,KE,Damage,Red blood cells,hemolysis,,,,Damage,Y
"Increase, Renal pathology due to VTG deposition",252,KE,Increase,Renal pathology,VTG deposition,,,VTG,Increase,Y
"N/A, Reproductive failure",253,AO,,Reproductive failure,,,,,,Y
"Increase, Reactive oxygen species production",257,MIE,Increase,Reactive oxygen species production,,,,ROS,Increase,Y
"Increase, Reactive oxygen species production",257,KE,Increase,Reactive oxygen species production,,,,ROS,Increase,Y
"Activation, SCD-1",258,KE,Activation,SCD-1,,,,SCD-1,Activation,Y
"Activation, SREBP-1c",264,KE,Activation,SREBP-1c,,,,SREBP-1c,Activation,Y
"Activation, Stellate cells",265,KE,Activation,Stellate cells,,,,,Activation,Y
"Decrease, Steroidogenic acute regulatory protein (STAR)",266,KE,Decrease,Steroidogenic acute regulatory protein,STAR,,,STAR,Decrease,Y
"Induction, Sustained Cell Proliferation",269,KE,Induction,Sustained Cell Proliferation,,,,,Induction,Y
"Induction, Sustained Hepatotoxicity",270,KE,Induction,Sustained Hepatotoxicity,,,,,Induction,Y
"Activation/Proliferation, T-cells",272,KE,Activation,Proliferation,T-cells,,,,Activation,Y
"Reduction, Testosterone synthesis by ovarian theca cells",274,KE,Reduction,Testosterone,ovarian theca cells,,,,Reduction,Y
"Thyroid hormone synthesis, Decreased",277,MIE,Decrease,Thyroid hormone,,,,,Decrease,Y
"Thyroid hormone synthesis, Decreased",277,KE,Decrease,Thyroid hormone,,,,,Decrease,Y
"Thyroperoxidase, Inhibition",279,MIE,Inhibition,Thyroperoxidase,,,,,Inhibition,Y
"Thyroxine (T4) in neuronal tissue, Decreased ",280,KE,Decrease,Thyroxine,T4,neuronal tissue,,T4,Decrease,Y
" Thyroxine (T4) in serum, Decreased",281,KE,Decrease,Thyroxine,T4,serum,,T4,Decrease,Y
"Reduction, Vitellogenin synthesis in liver",285,KE,Reduction,Vitellogenin,liver,,,VTG,Reduction,Y
"Decreased, Transcription of genes by AR",286,KE,Decrease,Transcription genes of AR,AR,,,AR,Decrease,Y
"Activation of specific nuclear receptors, Transcriptional change",288,KE,Activation,specific nuclear receptors,Transcriptional change,,,,Activation,Y
"Decrease, Translocator protein (TSPO)",289,KE,Decrease,Translocator protein,,,,TSPO,Decrease,Y
"Accumulation, Triglyceride",291,KE,Accumulation,Triglyceride,,,,,Accumulation,Y
"N/A, Unknown",294,KE,,Unknown,,,,,,Y
"Induction, Upregulation of glucuronyltransferase activity",295,KE,Induction,Upregulation,glucuronyltransferase activity,,,,Induction,Y
"Insufficiency, Vascular",298,KE,Insufficiency,Vascular,,,,,Insufficiency,Y
"Inhibition, VegfR2",305,MIE,Inhibition,VegfR2,,,,VegfR2,Inhibition,Y
