AOP_id,AOP_title,AOP_short_name,AOP_AO_1,AOP_AO_id_1,AOP_AO_2,AOP_AO_id_2,AOP_AO_3,AOP_AO_id_3,AOP_AO_4,AOP_AO_id_4,AOP_AO_5,AOP_AO_id_5,AOP_AO_6,AOP_AO_id_6,AOP_AO_7,AOP_AO_id_7,AOP_AO_8,AOP_AO_id_8,AOP_AO_9,AOP_AO_id_9,AOP_AO_10,AOP_AO_id_10,AOP_KE_1,AOP_KE_id_1,AOP_KE_2,AOP_KE_id_2,AOP_KE_3,AOP_KE_id_3,AOP_KE_4,AOP_KE_id_4,AOP_KE_5,AOP_KE_id_5,AOP_KE_6,AOP_KE_id_6,AOP_KE_7,AOP_KE_id_7,AOP_KE_8,AOP_KE_id_8,AOP_KE_9,AOP_KE_id_9,AOP_KE_10,AOP_KE_id_10,AOP_MIE_1,AOP_MIE_id_1,AOP_MIE_2,AOP_MIE_id_2,AOP_MIE_3,AOP_MIE_id_3,AOP_MIE_4,AOP_MIE_id_4,AOP_MIE_5,AOP_MIE_id_5,AOP_MIE_6,AOP_MIE_id_6,AOP_MIE_7,AOP_MIE_id_7,AOP_MIE_8,AOP_MIE_id_8,AOP_MIE_9,AOP_MIE_id_9,AOP_MIE_10,AOP_MIE_id_10,stressor_id_1,stressor_name_1,stressor_id_2,stressor_name_2,stressor_id_3,stressor_name_3,stressor_id_4,stressor_name_4,stressor_id_5,stressor_name_5,stressor_id_6,stressor_name_6,stressor_id_7,stressor_name_7,stressor_id_8,stressor_name_8,stressor_id_9,stressor_name_9,stressor_id_10,stressor_name_10,relation_1,upstream_event_id_1,upstream_event_1,downstream_event_id_1,downstream_event_1,relation_2,upstream_event_id_2,upstream_event_2,downstream_event_id_2,downstream_event_2,relation_3,upstream_event_id_3,upstream_event_3,downstream_event_id_3,downstream_event_3,relation_4,upstream_event_id_4,upstream_event_4,downstream_event_id_4,downstream_event_4,relation_5,upstream_event_id_5,upstream_event_5,downstream_event_id_5,downstream_event_5,relation_6,upstream_event_id_6,upstream_event_6,downstream_event_id_6,downstream_event_6,relation_7,upstream_event_id_7,upstream_event_7,downstream_event_id_7,downstream_event_7,relation_8,upstream_event_id_8,upstream_event_8,downstream_event_id_8,downstream_event_8,relation_9,upstream_event_id_9,upstream_event_9,downstream_event_id_9,downstream_event_9,relation_10,upstream_event_id_10,upstream_event_10,downstream_event_id_10,downstream_event_10
443, DNA damage and mutations leading to Metastatic Breast Cancer,DNA damage and metastatic breast  cancer,metastatic breast cancer,1982,,,,,,,,,,,,,,,,,,,Inadequate DNA repair,155,"Increase, Mutations",185,Increase Chromosomal Aberrations,1554,Increased microRNA expression,1980,Decreased SIRT1 expression,1981,"Increased activation, Nuclear factor kappa B (NF-kB)",1172,"Antagonism, Estrogen receptor",112,"Induction, Epithelial Mesenchymal Transition",1457,,,,,"Increased, DNA damage and mutation",1669,,,,,,,,,,,,,,,,,,,737,Ethyl alcohol,,,,,,,,,,,,,,,,,,,3029,1669,"Increased, DNA damage and mutation",155,Inadequate DNA repair,3183,1669,"Increased, DNA damage and mutation",1554,Increase Chromosomal Aberrations,3184,1554,Increase Chromosomal Aberrations,1980,Increased microRNA expression,3030,155,Inadequate DNA repair,185,"Increase, Mutations",3031,185,"Increase, Mutations",1980,Increased microRNA expression,3032,1980,Increased microRNA expression,1981,Decreased SIRT1 expression,3033,1981,Decreased SIRT1 expression,1172,"Increased activation, Nuclear factor kappa B (NF-kB)",3034,1172,"Increased activation, Nuclear factor kappa B (NF-kB)",112,"Antagonism, Estrogen receptor",3035,112,"Antagonism, Estrogen receptor",1457,"Induction, Epithelial Mesenchymal Transition",3036,1457,"Induction, Epithelial Mesenchymal Transition",1982,metastatic breast cancer
450, Inhibition of AChE and activation of CYP2E1 leading to sensory axonal peripheral neuropathy and mortality,Organo-Phosphate Chemicals leading to sensory axonal peripheral neuropathy and mortality,Sensory axonal peripheral neuropathy,1583,Increased Mortality,351,,,,,,,,,,,,,,,,,Activation of Cyp2E1,1391,Oxidative Stress in Brain,1510,"N/A, Neurodegeneration",352,"Decreased, Neuronal network function in adult brain",618,,,,,,,,,,,,,Acetylcholinesterase (AchE) Inhibition,12,,,,,,,,,,,,,,,,,,,649,Paraoxon,650,Methyl parathion,651,Ethyl Parathion,43,Organophosphates,,,,,,,,,,,,,3084,12,Acetylcholinesterase (AchE) Inhibition,1391,Activation of Cyp2E1,3089,1583,Sensory axonal peripheral neuropathy,351,Increased Mortality,3085,1391,Activation of Cyp2E1,1510,Oxidative Stress in Brain,3086,1510,Oxidative Stress in Brain,352,"N/A, Neurodegeneration",3087,352,"N/A, Neurodegeneration",618,"Decreased, Neuronal network function in adult brain",3088,618,"Decreased, Neuronal network function in adult brain",1583,Sensory axonal peripheral neuropathy,,,,,,,,,,,,,,,,,,,,
202, Inhibitor binding to topoisomerase II leading to infant leukaemia,"topoisomerase II binding, infant leukaemia",Infant leukaemia,1254,,,,,,,,,,,,,,,,,,,DNA double-strand break ,1461, MLL chromosomal translocation,1253,,,,,,,,,,,,,,,,,Binding to (interferes with) topoisomerase II enzyme,1252,,,,,,,,,,,,,,,,,,,223,Etoposide,279,Bioflavonoids,280,Chlorpyrifos,281,etoposide quinone,,,,,,,,,,,,,1503,1252,Binding to (interferes with) topoisomerase II enzyme,1461,DNA double-strand break ,1504,1461,DNA double-strand break ,1253, MLL chromosomal translocation,1051,1253, MLL chromosomal translocation,1254,Infant leukaemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389, Oxygen-evolving complex damage leading to population decline via inhibition of photosynthesis,OEC damage leading to population decline via photosynthesis inhibition,"Decrease, Reproduction",1863,"Decrease, Population growth rate",360,,,,,,,,,,,,,,,,,"Decrease, Photosystem II efficiency",1862,"Decrease, Photosynthesis",1475,"Decrease, ATP production",1472,"Decrease, Leaf development",1479,,,,,,,,,,,,,"Increase, Oxygen-evolving complex damage",1865,,,,,,,,,,,,,,,,,,,274,Ultraviolet B radiation,,,,,,,,,,,,,,,,,,,2604,1865,"Increase, Oxygen-evolving complex damage",1862,"Decrease, Photosystem II efficiency",2605,1862,"Decrease, Photosystem II efficiency",1475,"Decrease, Photosynthesis",2606,1475,"Decrease, Photosynthesis",1472,"Decrease, ATP production",2607,1472,"Decrease, ATP production",1479,"Decrease, Leaf development",2608,1479,"Decrease, Leaf development",1863,"Decrease, Reproduction",2609,1863,"Decrease, Reproduction",360,"Decrease, Population growth rate",,,,,,,,,,,,,,,,,,,,
423, Toxicological mechanisms of hepatocyte apoptosis through the PARP1 dependent cell death pathway ,hepatocyte apoptosis,Apoptotic cell death,1817,,,,,,,,,,,,,,,,,,,"Releasing, Apoptosis-Inducing Factor (AIF)",2031,"N/A, Mitochondrial dysfunction 1",177,"Increase, DNA damage",1194,,,,,,,,,,,,,,,"Activation, PARP1",2030,ROS formation,1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3173,2030,"Activation, PARP1",177,"N/A, Mitochondrial dysfunction 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,5-hydroxytryptamine transporter (5-HTT; SERT) inhibition leading to decreased shelter seeking and increased predation,5-HTT block to incr. predation,"Increased, predation",588,,,,,,,,,,,,,,,,,,,"Increased, serotonin (5-HT) ",626,"Decreased, anxiety",627,"Decreased, sheltering",629,,,,,,,,,,,,,,,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,626,"Increased, serotonin (5-HT) ",627,"Decreased, anxiety",312,627,"Decreased, anxiety",629,"Decreased, sheltering",310,619,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",626,"Increased, serotonin (5-HT) ",313,629,"Decreased, sheltering",588,"Increased, predation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,5-hydroxytryptamine transporter (5-HTT; SERT) inhibition leading to population decline,5-HTT block to population decline,"Increase, predation",623,"Decrease, Population growth rate",360,,,,,,,,,,,,,,,,,"Increased, muscular waves in foot",625,"Increased, water retention in foot",1139,"Increased, valve movement",1142,"Depletion, energy reserves",1143,"Increased, foot detachment",624,"Increased, locomotion",622,"Increased, serotonin (5-HT) ",626,,,,,,,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",619,,,,,,,,,,,,,,,,,,,202,Fluoxetine,,,,,,,,,,,,,,,,,,,878,1143,"Depletion, energy reserves",623,"Increase, predation",909,622,"Increased, locomotion",623,"Increase, predation",917,1139,"Increased, water retention in foot",1142,"Increased, valve movement",921,1142,"Increased, valve movement",623,"Increase, predation",1012,619,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",625,"Increased, muscular waves in foot",1013,619,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",1142,"Increased, valve movement",1014,1142,"Increased, valve movement",1139,"Increased, water retention in foot",1015,625,"Increased, muscular waves in foot",624,"Increased, foot detachment",1016,1139,"Increased, water retention in foot",624,"Increased, foot detachment",1017,625,"Increased, muscular waves in foot",622,"Increased, locomotion"
195,5-hydroxytryptamine transporter (5-HTT) inhibition leading to population increase,5-HTT leading to population increase,"Increased, Population",1164,,,,,,,,,,,,,,,,,,,"Increased, serotonin (5-HT) ",626,"Increased, oocyte maturation",1161,induced spawning,1255,"Increased, valve movement",1142,"Increased, Reproductive Success",1163,"Increase, cilia movement",621,,,,,,,,,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",619,,,,,,,,,,,,,,,,,,,202,Fluoxetine,203,Fluvoxamine,,,,,,,,,,,,,,,,,905,626,"Increased, serotonin (5-HT) ",1161,"Increased, oocyte maturation",908,1163,"Increased, Reproductive Success",1164,"Increased, Population",1040,619,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",626,"Increased, serotonin (5-HT) ",1041,626,"Increased, serotonin (5-HT) ",1142,"Increased, valve movement",1042,1161,"Increased, oocyte maturation",1255,induced spawning,1043,1142,"Increased, valve movement",1255,induced spawning,1047,1255,induced spawning,1163,"Increased, Reproductive Success",1048,619,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",621,"Increase, cilia movement",1049,621,"Increase, cilia movement",1255,induced spawning,1062,626,"Increased, serotonin (5-HT) ",621,"Increase, cilia movement"
203,5-hydroxytryptamine transporter inhibition leading to decreased reproductive success and population decline,5-HTT leading to population decline,"Decreased, Reproductive Success",1141,"Decrease, Population growth rate",360,,,,,,,,,,,,,,,,,"Increased, valve movement",1142,"Increase, cilia movement",621,increased mantel display,1256,Induced parturition,1257,"Increased, serotonin (5-HT) ",626,,,,,,,,,,,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",619,,,,,,,,,,,,,,,,,,,202,Fluoxetine,233,sertraline,203,Fluvoxamine,234,norfluoxetine,,,,,,,,,,,,,1022,619,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",1142,"Increased, valve movement",1023,619,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",621,"Increase, cilia movement",1024,619,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",1256,increased mantel display,1027,1256,increased mantel display,1257,Induced parturition,1028,1257,Induced parturition,1141,"Decreased, Reproductive Success",1063,1142,"Increased, valve movement",1257,Induced parturition,1064,621,"Increase, cilia movement",1257,Induced parturition,1065,626,"Increased, serotonin (5-HT) ",1142,"Increased, valve movement",1066,626,"Increased, serotonin (5-HT) ",621,"Increase, cilia movement",1067,626,"Increased, serotonin (5-HT) ",1256,increased mantel display
204,5-hydroxytryptamine transporter inhibition leading to increased reproductive success and population increase,5-HTT inhibition leading to population increase,"Increased, Reproductive Success",1163,"Increased, Population",1164,,,,,,,,,,,,,,,,,"Increased, valve movement",1142,"Increase, cilia movement",621,Induced parturition,1257,increased mantel display,1256,"Increased, serotonin (5-HT) ",626,,,,,,,,,,,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,619,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",1142,"Increased, valve movement",1032,619,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",621,"Increase, cilia movement",1033,619,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",1256,increased mantel display,1034,1256,increased mantel display,1257,Induced parturition,1036,1163,"Increased, Reproductive Success",1164,"Increased, Population",1039,1257,Induced parturition,1163,"Increased, Reproductive Success",1055,619,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",626,"Increased, serotonin (5-HT) ",1056,626,"Increased, serotonin (5-HT) ",1142,"Increased, valve movement",1058,1142,"Increased, valve movement",1257,Induced parturition,1059,621,"Increase, cilia movement",1257,Induced parturition
